,LATITUDE,LONGITUDE,TIME_EVENT,COUNTRY,YEAR
0,45.567,5.933,2022-10-24 10:15:00,FR,2022
1,45.596,5.875,2022-10-24 09:52:00,FR,2022
2,50.967,2.667,2022-10-23 17:00:00,BE,2022
3,51.0,2.7,2022-10-23 17:00:00,BE,2022
4,49.583,1.358,2022-10-23 16:30:00,FR,2022
5,49.533,1.267,2022-10-23 16:25:00,FR,2022
6,49.521,1.251,2022-10-23 16:23:00,FR,2022
7,49.498,1.25,2022-10-23 16:22:00,FR,2022
8,49.492,1.216,2022-10-23 16:20:00,FR,2022
9,49.467,1.183,2022-10-23 16:18:00,FR,2022
10,49.45,1.15,2022-10-23 16:15:00,FR,2022
11,50.093,2.731,2022-10-23 16:13:00,FR,2022
12,50.08,2.708,2022-10-23 16:12:00,FR,2022
13,50.001,2.65,2022-10-23 16:10:00,FR,2022
14,50.081,2.63,2022-10-23 16:07:00,FR,2022
15,50.079,2.605,2022-10-23 16:06:00,FR,2022
16,50.06,2.567,2022-10-23 16:03:00,FR,2022
17,50.073,2.532,2022-10-23 16:02:00,FR,2022
18,49.887,2.345,2022-10-23 15:56:00,FR,2022
19,49.972,2.356,2022-10-23 15:51:00,FR,2022
20,49.952,2.36,2022-10-23 15:50:00,FR,2022
21,49.877,2.322,2022-10-23 15:47:00,FR,2022
22,49.847,2.265,2022-10-23 15:45:00,FR,2022
23,49.884,2.294,2022-10-23 15:45:00,FR,2022
24,49.87,2.241,2022-10-23 15:43:00,FR,2022
25,49.861,2.238,2022-10-23 15:43:00,FR,2022
26,49.502,1.586,2022-10-23 15:03:00,FR,2022
27,48.333,1.933,2022-10-23 14:47:00,FR,2022
28,49.232,1.243,2022-10-23 14:33:00,FR,2022
29,49.193,1.24,2022-10-23 14:32:00,FR,2022
30,48.5,0.483,2022-10-23 14:30:00,FR,2022
31,49.161,1.246,2022-10-23 14:30:00,FR,2022
32,49.163,1.217,2022-10-23 14:29:00,FR,2022
33,49.153,1.157,2022-10-23 14:27:00,FR,2022
34,49.027,1.151,2022-10-23 14:27:00,FR,2022
35,49.067,1.1,2022-10-23 14:21:00,FR,2022
36,49.053,1.087,2022-10-23 14:18:00,FR,2022
37,49.024,1.034,2022-10-23 14:15:00,FR,2022
38,48.992,1.049,2022-10-23 14:15:00,FR,2022
39,48.891,0.951,2022-10-23 14:13:00,FR,2022
40,48.844,0.872,2022-10-23 14:06:00,FR,2022
