Insee - Statistiques locales; ; 
Référentiel géographique : France par commune; ; 
Code;Libellé;Population municipale 2020
01001;L'Abergement-Clémenciat;806
01002;L'Abergement-de-Varey;262
01004;Ambérieu-en-Bugey;14288
01005;Ambérieux-en-Dombes;1782
01006;Ambléon;113
01007;Ambronay;2827
01008;Ambutrix;768
01009;Andert-et-Condon;324
01010;Anglefort;1101
01011;Apremont;368
01012;Aranc;327
01013;Arandas;143
01014;Arbent;3336
01015;Arboys en Bugey;663
01016;Arbigny;458
01017;Argis;445
01019;Armix;26
01021;Ars-sur-Formans;1490
01022;Artemare;1213
01023;Asnières-sur-Saône;76
01024;Attignat;3299
01025;Bâgé-Dommartin;4068
01026;Bâgé-le-Châtel;977
01027;Balan;2647
01028;Baneins;625
01029;Beaupont;683
01030;Beauregard;821
01031;Bellignat;3671
01032;Béligneux;3414
01033;Valserhône;16434
01034;Belley;9207
01035;Belleydoux;308
01036;Valromey-sur-Séran;1334
01037;Bénonces;309
01038;Bény;759
01039;Béon;439
01040;Béréziat;480
01041;Bettant;748
01042;Bey;291
01043;Beynost;4829
01044;Billiat;628
01045;Birieux;285
01046;Biziat;912
01047;Blyes;1269
01049;La Boisse;3335
01050;Boissey;380
01051;Bolozon;91
01052;Bouligneux;332
01053;Bourg-en-Bresse;41681
01054;Bourg-Saint-Christophe;1482
01056;Boyeux-Saint-Jérôme;351
01057;Boz;514
01058;Brégnier-Cordon;819
01060;Brénod;486
01061;Brens;1133
01062;Bressolles;951
01063;Brion;561
01064;Briord;1095
01065;Buellas;1825
01066;La Burbanche;92
01067;Ceignes;259
01068;Cerdon;771
01069;Certines;1514
01071;Cessy;5045
01072;Ceyzériat;3202
01073;Ceyzérieu;995
01074;Chalamont;2574
01075;Chaleins;1402
01076;Chaley;122
01077;Challes-la-Montagne;192
01078;Challex;1597
01079;Champagne-en-Valromey;822
01080;Champdor-Corcelles;636
01081;Champfromier;726
01082;Chanay;637
01083;Chaneins;965
01084;Chanoz-Châtenay;921
01085;La Chapelle-du-Châtelard;397
01087;Charix;279
01088;Charnoz-sur-Ain;902
01089;Château-Gaillard;2254
01090;Châtenay;361
01092;Châtillon-la-Palud;1622
01093;Châtillon-sur-Chalaronne;4968
01094;Chavannes-sur-Reyssouze;761
01095;Nivigne et Suran;843
01096;Chaveyriat;1033
01098;Chazey-Bons;1175
01099;Chazey-sur-Ain;1590
01100;Cheignieu-la-Balme;131
01101;Chevillard;152
01102;Chevroux;966
01103;Chevry;2226
01104;Chézery-Forens;453
01105;Civrieux;1867
01106;Cize;178
01107;Cleyzieu;136
01108;Coligny;1161
01109;Collonges;2230
01110;Colomieu;159
01111;Conand;133
01112;Condamine;467
01113;Condeissiat;817
01114;Confort;693
01115;Confrançon;1339
01116;Contrevoz;496
01117;Conzieu;150
01118;Corbonod;1279
01121;Corlier;116
01123;Cormoranche-sur-Saône;1159
01124;Cormoz;702
01125;Corveissiat;604
01127;Courmangoux;506
01128;Courtes;301
01129;Crans;303
01130;Bresse Vallons;2368
01133;Cressin-Rochefort;395
01134;Crottet;1792
01135;Crozet;2205
01136;Cruzilles-lès-Mépillat;922
01138;Culoz;2987
01139;Curciat-Dongalon;444
01140;Curtafond;764
01141;Cuzieu;443
01142;Dagneux;4765
01143;Divonne-les-Bains;9999
01145;Dompierre-sur-Veyle;1190
01146;Dompierre-sur-Chalaronne;436
01147;Domsure;509
01148;Dortan;1892
01149;Douvres;1094
01150;Drom;214
01151;Druillat;1139
01152;Échallon;756
01153;Échenevex;2123
01155;Évosges;142
01156;Faramans;843
01157;Fareins;2339
01158;Farges;1053
01159;Feillens;3366
01160;Ferney-Voltaire;10612
01162;Flaxieu;65
01163;Foissiat;2016
01165;Francheleins;1586
01166;Frans;2417
01167;Garnerans;657
01169;Genouilleux;651
01170;Béard-Géovreissiat;1044
01171;Géovreisset;830
01173;Gex;13177
01174;Giron;176
01175;Gorrevod;790
01177;Grand-Corent;184
01179;Grièges;1884
01180;Grilly;842
01181;Groissiat;1241
