,LATITUDE,LONGITUDE,TIME_EVENT,COUNTRY,YEAR,NEAREST_CITY,Population municipale 2020
0,45.567,5.933,2022-10-24 10:15:00,FR,2022,Barberaz,5167
1,45.596,5.875,2022-10-24 09:52:00,FR,2022,La Motte-Servolex,12377
2,49.583,1.358,2022-10-23 16:30:00,FR,2022,Buchy,2820
3,49.533,1.267,2022-10-23 16:25:00,FR,2022,Buchy,2820
4,49.521,1.251,2022-10-23 16:23:00,FR,2022,Isneauville,3601
5,49.498,1.25,2022-10-23 16:22:00,FR,2022,Isneauville,3601
6,49.492,1.216,2022-10-23 16:20:00,FR,2022,Isneauville,3601
7,49.467,1.183,2022-10-23 16:18:00,FR,2022,Darntal,9780
8,49.45,1.15,2022-10-23 16:15:00,FR,2022,Darntal,9780
9,50.093,2.731,2022-10-23 16:13:00,FR,2022,Albert,9814
10,50.08,2.708,2022-10-23 16:12:00,FR,2022,Albert,9814
11,50.001,2.65,2022-10-23 16:10:00,FR,2022,Albert,9814
12,50.081,2.63,2022-10-23 16:07:00,FR,2022,Albert,9814
13,50.079,2.605,2022-10-23 16:06:00,FR,2022,Albert,9814
14,50.06,2.567,2022-10-23 16:03:00,FR,2022,Albert,9814
15,50.073,2.532,2022-10-23 16:02:00,FR,2022,Albert,9814
16,49.887,2.345,2022-10-23 15:56:00,FR,2022,Rivery,3623
17,49.972,2.356,2022-10-23 15:51:00,FR,2022,Rivery,3623
18,49.952,2.36,2022-10-23 15:50:00,FR,2022,Rivery,3623
19,49.877,2.322,2022-10-23 15:47:00,FR,2022,Amiens,134167
20,49.847,2.265,2022-10-23 15:45:00,FR,2022,Saloul,4011
21,49.884,2.294,2022-10-23 15:45:00,FR,2022,Amiens,134167
22,49.87,2.241,2022-10-23 15:43:00,FR,2022,Saloul,4011
23,49.861,2.238,2022-10-23 15:43:00,FR,2022,Saloul,4011
24,49.502,1.586,2022-10-23 15:03:00,FR,2022,Gournay-en-Bray,6027
25,48.333,1.933,2022-10-23 14:47:00,FR,2022,Angerville,4374
26,49.232,1.243,2022-10-23 14:33:00,FR,2022,And,1304
27,49.193,1.24,2022-10-23 14:32:00,FR,2022,And,1304
28,48.5,0.483,2022-10-23 14:30:00,FR,2022,Mortagne-au-Perche,3758
29,49.161,1.246,2022-10-23 14:30:00,FR,2022,Clef Valle d'Eure,2482
30,49.163,1.217,2022-10-23 14:29:00,FR,2022,Heudreville-sur-Eure,1073
31,49.153,1.157,2022-10-23 14:27:00,FR,2022,Heudreville-sur-Eure,1073
32,49.027,1.151,2022-10-23 14:27:00,FR,2022,vreux,46869
33,49.067,1.1,2022-10-23 14:21:00,FR,2022,Aviron,1102
34,49.053,1.087,2022-10-23 14:18:00,FR,2022,Aviron,1102
35,49.024,1.034,2022-10-23 14:15:00,FR,2022,La Bonneville-sur-Iton,2047
36,48.992,1.049,2022-10-23 14:15:00,FR,2022,La Bonneville-sur-Iton,2047
37,48.891,0.951,2022-10-23 14:13:00,FR,2022,Conches-en-Ouche,4950
38,48.844,0.872,2022-10-23 14:06:00,FR,2022,Breteuil,4321
39,48.844,0.872,2022-10-23 14:06:00,FR,2022,Breteuil,4192
40,48.837,0.914,2022-10-23 14:03:00,FR,2022,Breteuil,4321
41,48.837,0.914,2022-10-23 14:03:00,FR,2022,Breteuil,4192
42,48.753,0.739,2022-10-23 13:50:00,FR,2022,Bourth,1188
43,48.735,0.694,2022-10-23 13:47:00,FR,2022,L'Aigle,7903
44,48.717,0.717,2022-10-23 13:47:00,FR,2022,Bourth,1188
45,48.65,0.683,2022-10-23 13:44:00,FR,2022,L'Aigle,7903
46,48.183,-0.892,2022-10-23 12:10:00,FR,2022,La Baconnire,1941
47,47.93,1.92,2022-10-20 15:45:00,FR,2022,Fleury-les-Aubrais,21104
48,47.948,1.886,2022-10-20 15:45:00,FR,2022,Saran,16598
49,47.883,1.936,2022-10-20 15:30:00,FR,2022,Saint-Jean-le-Blanc,9225
50,47.865,1.901,2022-10-20 15:25:00,FR,2022,Olivet,22503
51,47.835,1.933,2022-10-20 15:15:00,FR,2022,Olivet,22503
52,47.777,1.873,2022-10-20 15:15:00,FR,2022,La Fert-Saint-Aubin,7371
53,47.417,1.617,2022-10-20 14:46:00,FR,2022,Soings-en-Sologne,1618
54,47.344,1.583,2022-10-20 14:37:00,FR,2022,Selles-sur-Cher,4459
55,47.231,0.253,2022-10-20 14:13:00,FR,2022,Chinon,8063
56,46.933,-0.1,2022-10-20 13:35:00,FR,2022,Thouars,13917
57,46.905,-0.1,2022-10-20 13:32:00,FR,2022,Thouars,13917
58,46.917,-0.117,2022-10-20 13:32:00,FR,2022,Thouars,13917
59,46.944,-0.074,2022-10-20 13:30:00,FR,2022,Thouars,13917
60,46.883,-0.15,2022-10-20 13:28:00,FR,2022,Thouars,13917
61,43.667,7.15,2022-09-30 21:30:00,FR,2022,Cagnes-sur-Mer,52100
62,44.561,6.083,2022-09-14 20:35:00,FR,2022,Gap,40111
63,46.574,-1.341,2022-09-14 20:35:00,FR,2022,La Roche-sur-Yon,55213
64,43.7,1.517,2022-09-14 17:30:00,FR,2022,Lapeyrouse-Fossat,2919
65,43.683,1.317,2022-09-14 17:30:00,FR,2022,Aussonne,7265
66,43.767,2.0,2022-09-14 17:00:00,FR,2022,Labastide-Saint-Georges,1944
67,43.7,1.433,2022-09-14 16:30:00,FR,2022,Castelginest,10784
68,45.187,1.952,2022-09-13 14:35:00,FR,2022,Argentat-sur-Dordogne,2887
69,43.675,3.476,2022-09-07 20:13:00,FR,2022,Saint-Andr-de-Sangonis,6334
70,43.662,3.459,2022-09-07 20:10:00,FR,2022,Saint-Andr-de-Sangonis,6334
71,43.665,3.438,2022-09-07 20:10:00,FR,2022,Clermont-l'Hrault,9126
72,45.94,4.774,2022-09-07 18:52:00,FR,2022,Trvoux,6945
73,45.917,4.824,2022-09-07 18:50:00,FR,2022,Massieux,2709
74,46.881,2.16,2022-09-07 18:47:00,FR,2022,Lunery,1593
75,45.867,4.183,2022-09-07 14:50:00,FR,2022,Saint-Symphorien-de-Lay,1923
76,45.892,4.241,2022-09-07 14:50:00,FR,2022,Saint-Symphorien-de-Lay,1923
77,45.873,4.137,2022-09-07 14:45:00,FR,2022,Saint-Symphorien-de-Lay,1923
78,45.775,3.982,2022-09-07 14:45:00,FR,2022,Bon-sur-Lignon,3025
79,43.788,4.832,2022-09-07 12:00:00,FR,2022,Saint-Rmy-de-Provence,9692
80,44.133,2.933,2022-09-06 15:30:00,FR,2022,Saint-Georges-de-Luzenon,1606
81,44.333,2.967,2022-09-06 14:50:00,FR,2022,Svrac d'Aveyron,4079
82,44.719,3.241,2022-09-06 14:50:00,FR,2022,Saint-Chly-d'Apcher,4220
83,45.183,3.517,2022-09-06 12:42:00,FR,2022,Langeac,3451
84,48.888,1.462,2022-09-05 18:35:00,FR,2022,La Chausse-d'Ivry,1264
85,48.866,1.422,2022-09-05 18:35:00,FR,2022,zy-sur-Eure,3686
86,49.317,2.783,2022-09-05 18:22:00,FR,2022,Bthisy-Saint-Pierre,3154
87,43.5,1.15,2022-09-05 18:20:00,FR,2022,Sainte-Foy-de-Peyrolires,2101
88,48.3,-0.617,2022-09-05 18:20:00,FR,2022,Mayenne,12805
89,49.667,1.933,2022-09-05 18:16:00,FR,2022,Grandvilliers,2793
90,49.567,1.9,2022-09-05 18:05:00,FR,2022,Grandvilliers,2793
91,49.517,1.933,2022-09-05 18:01:00,FR,2022,Beauvais,56889
92,48.124,-1.213,2022-09-05 17:15:00,FR,2022,Vitr,18603
93,43.383,1.267,2022-09-05 17:10:00,FR,2022,Lavernose-Lacasse,3394
94,48.967,1.85,2022-09-05 17:00:00,FR,2022,Aubergenville,12082
95,43.397,1.262,2022-09-05 17:00:00,FR,2022,Lavernose-Lacasse,3394
96,48.95,1.817,2022-09-05 16:59:00,FR,2022,pne,6625
97,43.467,1.35,2022-09-05 16:50:00,FR,2022,Pins-Justaret,4335
98,43.383,1.183,2022-09-05 16:47:00,FR,2022,Longages,3213
99,43.422,1.27,2022-09-05 16:45:00,FR,2022,Lherm,3804
100,43.433,1.233,2022-09-05 16:45:00,FR,2022,Lherm,3804
101,48.75,1.833,2022-09-05 16:35:00,FR,2022,Coignires,4375
102,43.417,1.117,2022-09-05 16:35:00,FR,2022,Rieumes,3659
103,43.433,1.067,2022-09-05 16:31:00,FR,2022,Rieumes,3659
104,43.433,1.05,2022-09-05 16:30:00,FR,2022,Rieumes,3659
105,48.7,1.85,2022-09-05 16:28:00,FR,2022,Rambouillet,27043
106,48.65,1.833,2022-09-05 16:20:00,FR,2022,Rambouillet,27043
107,43.467,0.983,2022-09-05 16:15:00,FR,2022,Samatan,2380
108,43.439,0.991,2022-09-05 16:15:00,FR,2022,Samatan,2380
109,43.45,0.967,2022-09-05 16:10:00,FR,2022,Samatan,2380
110,43.433,0.95,2022-09-05 16:10:00,FR,2022,Samatan,2380
111,43.417,0.983,2022-09-05 16:10:00,FR,2022,Samatan,2380
112,48.45,1.75,2022-09-05 16:07:00,FR,2022,Aunay-sous-Auneau,1565
113,48.517,1.761,2022-09-05 16:05:00,FR,2022,Auneau-Bleury-Saint-Symphorien,6230
114,48.417,1.733,2022-09-05 16:00:00,FR,2022,Aunay-sous-Auneau,1565
115,48.45,1.767,2022-09-05 16:00:00,FR,2022,Aunay-sous-Auneau,1565
116,48.383,1.817,2022-09-05 15:50:00,FR,2022,Aunay-sous-Auneau,1565
117,48.35,1.767,2022-09-05 15:48:00,FR,2022,Aunay-sous-Auneau,1565
118,48.417,3.383,2022-09-05 15:48:00,FR,2022,Tranel,1036
119,43.498,0.951,2022-09-05 15:47:00,FR,2022,Samatan,2380
120,43.5,0.933,2022-09-05 15:45:00,FR,2022,Samatan,2380
121,43.503,0.939,2022-09-05 15:45:00,FR,2022,Samatan,2380
122,48.417,3.35,2022-09-05 15:45:00,FR,2022,Tranel,1036
123,43.517,0.983,2022-09-05 15:45:00,FR,2022,Samatan,2380
124,48.4,3.3,2022-09-05 15:41:00,FR,2022,Tranel,1036
125,48.221,1.808,2022-09-05 15:40:00,FR,2022,Janville-en-Beauce,2541
126,48.417,3.267,2022-09-05 15:38:00,FR,2022,Tranel,1036
127,48.2,1.8,2022-09-05 15:35:00,FR,2022,Janville-en-Beauce,2541
128,48.417,3.233,2022-09-05 15:35:00,FR,2022,Villeneuve-la-Guyard,3458
129,48.183,1.733,2022-09-05 15:30:00,FR,2022,ole-en-Beauce,1244
130,48.4,3.183,2022-09-05 15:29:00,FR,2022,Villeneuve-la-Guyard,3458
131,48.083,1.75,2022-09-05 15:18:00,FR,2022,Patay,2270
132,48.017,1.75,2022-09-05 15:11:00,FR,2022,Patay,2270
133,48.0,1.7,2022-09-05 15:10:00,FR,2022,Patay,2270
134,47.964,1.695,2022-09-05 15:05:00,FR,2022,Patay,2270
135,47.9,1.7,2022-09-05 14:55:00,FR,2022,Saint-Ay,3607
136,47.817,1.667,2022-09-05 14:45:00,FR,2022,Meung-sur-Loire,6567
137,47.833,1.7,2022-09-05 14:45:00,FR,2022,Meung-sur-Loire,6567
138,46.958,2.251,2022-09-05 14:30:00,FR,2022,Lunery,1593
139,46.883,2.083,2022-09-05 14:08:00,FR,2022,Issoudun,11314
140,42.967,1.6,2022-09-02 22:00:00,FR,2022,Foix,9515
141,42.983,1.6,2022-09-02 22:00:00,FR,2022,Foix,9515
142,43.016,1.499,2022-09-02 21:45:00,FR,2022,Serres-sur-Arget,678
143,44.55,3.283,2022-09-02 19:10:00,FR,2022,Marvejols,4713
144,44.59,3.404,2022-09-02 19:10:00,FR,2022,Mende,12336
145,45.85,5.033,2022-09-02 17:30:00,FR,2022,La Boisse,3335
146,45.833,5.0,2022-09-02 17:28:00,FR,2022,Beynost,4829
147,43.567,2.96,2022-09-02 15:50:00,FR,2022,Lamalou-les-Bains,2483
148,43.32,6.29,2022-09-02 14:33:00,FR,2022,Pignans,4658
149,43.42,6.069,2022-09-02 14:05:00,FR,2022,Brignoles,17652
150,43.438,6.069,2022-09-02 14:00:00,FR,2022,Le Val,4287
151,43.473,5.955,2022-09-02 13:45:00,FR,2022,Tourves,5101
152,43.67,5.851,2022-09-02 12:45:00,FR,2022,Ginasservis,1930
153,43.634,4.196,2022-09-02 12:40:00,FR,2022,Marsillargues,6395
154,43.993,4.451,2022-09-02 12:00:00,FR,2022,Uzs,8390
155,43.79,4.229,2022-09-02 11:35:00,FR,2022,Nages-et-Solorgues,2021
156,43.785,4.195,2022-09-02 11:30:00,FR,2022,Calvisson,5914
157,43.826,4.221,2022-09-02 11:30:00,FR,2022,Clarensac,4190
158,43.967,3.367,2022-09-02 09:50:00,FR,2022,La Cavalerie,2188
159,43.39,6.728,2022-09-02 09:30:00,FR,2022,Roquebrune-sur-Argens,14335
160,44.062,2.855,2022-09-02 08:50:00,FR,2022,Saint-Rome-de-Tarn,889
161,43.759,4.081,2022-08-30 16:02:00,FR,2022,Sommires,5053
162,43.781,4.085,2022-08-30 16:00:00,FR,2022,Sommires,5053
163,43.733,3.983,2022-08-30 16:00:00,FR,2022,Saint-Drzry,2839
164,43.726,3.98,2022-08-30 16:00:00,FR,2022,Saint-Drzry,2839
165,43.735,4.001,2022-08-30 16:00:00,FR,2022,Beaulieu,2176
166,43.771,4.022,2022-08-30 15:59:00,FR,2022,Beaulieu,2176
167,43.783,4.033,2022-08-30 15:58:00,FR,2022,Sommires,5053
168,43.771,3.956,2022-08-30 15:55:00,FR,2022,Saint-Drzry,2839
169,45.383,4.3,2022-08-30 15:30:00,FR,2022,Firminy,16953
170,43.83,4.027,2022-08-30 14:25:00,FR,2022,Sommires,5053
171,43.843,4.031,2022-08-30 14:25:00,FR,2022,Sommires,5053
172,43.91,4.002,2022-08-30 13:50:00,FR,2022,Quissac,3333
173,44.399,4.289,2022-08-30 13:15:00,FR,2022,Grospierres,911
174,43.412,6.052,2022-08-27 17:20:00,FR,2022,Brignoles,17652
175,47.9,7.35,2022-08-26 17:00:00,FR,2022,Ensisheim,7475
